iter	Passed	Remaining
0	87	87205
1	89	44762
2	91	30378
3	93	23198
4	95	19077
5	99	16414
6	101	14345
7	102	12763
8	104	11507
9	106	10554
10	108	9760
11	110	9097
12	113	8590
13	114	8095
14	116	7657
15	119	7329
16	121	7022
17	123	6738
18	125	6481
19	127	6247
20	130	6077
21	132	5882
22	134	5700
23	136	5540
24	138	5386
25	139	5243
26	141	5104
27	143	4991
28	145	4883
29	147	4784
30	150	4690
31	151	4597
32	153	4503
33	155	4413
34	157	4341
35	162	4348
36	164	4290
37	167	4229
38	168	4154
39	170	4097
40	172	4037
41	175	4009
42	177	3942
43	178	3880
44	179	3819
45	181	3762
46	182	3708
47	184	3658
48	186	3610
49	188	3588
50	190	3543
51	191	3491
52	192	3441
53	193	3394
54	194	3349
55	196	3305
56	197	3260
57	199	3232
58	200	3200
59	203	3188
60	204	3150
61	205	3110
62	206	3072
63	207	3034
64	208	2997
65	209	2962
66	210	2928
67	211	2898
68	212	2867
69	213	2834
70	214	2801
71	214	2770
72	215	2739
73	217	2723
74	218	2695
75	219	2670
76	220	2642
77	221	2616
78	222	2590
79	223	2564
80	223	2539
81	224	2514
82	224	2485
83	225	2463
84	227	2444
85	227	2422
86	228	2401
87	230	2385
88	233	2387
89	234	2373
90	235	2353
91	236	2332
92	237	2313
93	238	2294
94	238	2275
95	239	2257
96	240	2242
97	241	2224
98	242	2207
99	243	2191
100	244	2173
101	245	2157
102	245	2141
103	249	2150
104	250	2135
105	251	2120
106	252	2105
107	253	2090
108	253	2076
109	254	2062
110	255	2048
111	256	2034
112	257	2020
113	258	2007
114	259	1995
115	260	1982
116	260	1968
117	264	1973
118	265	1962
119	265	1950
120	266	1938
121	267	1925
122	268	1913
123	269	1901
124	270	1890
125	271	1880
126	271	1867
127	272	1857
128	273	1846
129	274	1835
130	275	1825
131	276	1814
132	276	1804
133	279	1809
134	280	1799
135	281	1789
136	282	1779
137	283	1769
138	284	1759
139	285	1750
140	285	1742
141	286	1731
142	287	1721
143	288	1712
144	289	1704
145	289	1696
146	291	1690
147	294	1694
148	295	1687
149	296	1679
150	297	1673
151	298	1666
152	299	1658
153	300	1650
154	301	1641
155	302	1637
156	303	1630
157	304	1624
158	306	1619
159	309	1623
160	310	1619
161	312	1614
162	313	1608
163	314	1601
164	315	1594
165	320	1608
166	321	1602
167	322	1595
168	325	1602
