iter	Passed	Remaining
0	142	142803
1	145	72366
2	157	52220
3	158	39522
4	160	31964
5	167	27774
6	169	23981
7	171	21285
8	177	19510
9	178	17658
10	179	16150
11	180	14894
12	181	13808
13	182	12868
14	183	12043
15	187	11512
16	188	10887
17	189	10316
18	190	9815
19	191	9385
20	194	9058
21	198	8843
22	200	8496
23	201	8174
24	202	7881
25	203	7606
26	203	7350
27	205	7121
28	214	7177
29	215	6983
30	218	6816
31	219	6629
32	220	6465
33	223	6336
34	229	6340
35	231	6188
36	232	6038
37	233	5910
38	234	5776
39	235	5648
40	236	5520
41	236	5399
42	238	5305
43	242	5273
44	243	5170
45	244	5067
46	245	4978
47	246	4884
48	247	4793
49	251	4771
50	254	4730
51	257	4686
52	262	4693
53	273	4786
54	284	4894
55	288	4869
56	293	4857
57	297	4831
58	299	4779
59	301	4722
60	303	4674
61	307	4654
62	311	4627
63	313	4589
64	316	4546
65	317	4499
66	319	4454
67	323	4433
68	325	4398
69	328	4369
70	330	4328
71	331	4278
72	335	4259
73	337	4220
74	339	4183
75	341	4150
76	343	4111
77	344	4073
78	345	4031
79	347	3991
80	348	3950
81	349	3908
82	349	3863
83	350	3823
84	352	3797
85	354	3766
86	355	3734
87	356	3697
88	358	3668
89	360	3640
90	361	3607
91	362	3573
92	362	3540
93	364	3516
94	366	3487
95	367	3462
96	369	3440
97	370	3412
98	371	3382
99	372	3353
100	373	3323
101	374	3295
102	375	3267
103	376	3243
104	377	3216
105	378	3189
106	379	3164
107	380	3138
108	380	3113
109	382	3093
110	384	3075
111	384	3052
112	385	3029
113	386	3006
114	387	2983
115	388	2961
116	389	2938
117	390	2916
118	390	2893
119	391	2871
120	392	2850
121	393	2828
122	393	2808
123	394	2789
124	395	2769
125	397	2754
126	398	2740
127	400	2725
128	401	2712
129	402	2695
130	403	2677
131	404	2659
132	405	2641
133	405	2623
134	406	2606
135	407	2589
136	410	2587
137	412	2579
138	414	2566
139	415	2551
140	416	2536
141	416	2518
142	417	2503
143	418	2489
144	419	2475
145	420	2460
146	421	2445
147	422	2430
148	422	2415
149	423	2401
150	424	2388
151	425	2375
152	428	2374
153	430	2366
154	431	2355
155	433	2346
156	434	2334
157	435	2321
158	436	2307
159	437	2295
160	438	2282
161	439	2271
162	439	2258
163	440	2246
164	441	2234
165	443	2228
166	445	2222
167	446	2211
168	447	2200
169	448	2190
170	449	2180
171	450	2169
172	451	2157
173	452	2147
174	453	2135
175	454	2125
176	456	2122
177	457	2113
178	458	2103
179	459	2094
180	460	2083
181	461	2073
182	462	2063
183	463	2053
184	463	2043
185	464	2033
186	466	2026
187	467	2017
188	468	2008
189	468	1999
190	469	1989
191	472	1987
192	473	1979
193	474	1971
194	475	1962
195	476	1953
196	476	1944
197	477	1935
198	479	1928
199	480	1920
200	481	1912
201	482	1904
202	482	1895
203	484	1889
204	486	1885
205	487	1880
206	489	1874
207	490	1866
208	491	1858
209	491	1850
210	492	1843
211	493	1835
212	494	1827
213	495	1819
214	496	1814
215	498	1807
216	498	1799
217	499	1792
218	501	1788
219	503	1783
220	504	1777
221	505	1769
222	505	1762
223	506	1755
224	507	1748
225	508	1742
226	509	1736
227	510	1729
228	511	1723
229	512	1716
230	513	1708
231	514	1701
232	514	1695
233	517	1694
234	519	1689
235	520	1684
236	521	1679
237	523	1676
238	524	1669
239	525	1663
240	526	1657
241	527	1652
242	528	1646
243	530	1643
244	532	1640
245	533	1635
246	534	1629
247	535	1623
248	536	1617
249	537	1611
250	537	1605
251	539	1600
252	540	1594
253	541	1589
254	542	1583
255	542	1577
256	543	1571
257	547	1575
258	549	1571
259	550	1565
260	551	1560
261	552	1555
262	552	1549
263	553	1544
264	554	1538
265	555	1532
266	556	1527
267	557	1522
268	558	1517
269	559	1512
270	561	1510
271	562	1506
272	563	1501
273	564	1496
274	565	1491
275	566	1485
276	567	1480
277	568	1475
278	569	1470
279	569	1465
280	570	1460
281	571	1455
282	572	1451
283	573	1445
284	574	1440
285	576	1438
286	578	1437
287	579	1433
288	580	1429
289	581	1424
290	583	1421
291	584	1417
292	585	1412
293	586	1407
294	586	1402
295	587	1398
296	588	1393
297	589	1388
298	592	1388
299	593	1384
300	594	1381
301	596	1378
302	597	1373
303	598	1369
304	599	1364
305	599	1360
306	601	1356
307	601	1352
308	602	1348
309	603	1343
310	604	1338
311	604	1333
312	605	1328
313	607	1326
314	608	1322
315	609	1319
316	610	1315
317	611	1310
318	611	1305
319	612	1301
320	613	1297
321	614	1293
322	615	1289
323	615	1285
324	616	1280
325	617	1276
326	617	1271
327	618	1267
328	619	1263
329	621	1260
330	622	1257
331	623	1255
332	625	1253
333	626	1249
334	627	1246
335	628	1242
336	629	1238
337	629	1233
338	631	1231
339	632	1227
340	633	1224
341	634	1221
342	635	1217
343	636	1213
344	637	1210
345	638	1206
346	641	1207
347	644	1206
348	645	1204
349	647	1201
350	647	1198
351	648	1194
352	649	1190
353	649	1186
354	650	1181
355	651	1177
356	651	1174
357	653	1171
